subj,exp_id,ses_id,marker,object,pICALH
001,1,1,layout4,pICALH,0.0
002,1,1,layout1,pICALH,0.0
003,1,1,layout6,pICALH,0.0
008,1,1,layout1,pICALH,0.0
009,1,1,layout6,pICALH,0.0
006,1,1,layout9,pICALH,0.0
015,1,1,layout0,pICALH,0.0
014,1,1,layout7,pICALH,0.0
016,1,1,layout5,pICALH,0.0
001,1,1,layout10,pICALH,0.0
011,1,1,layout8,pICALH,0.0
013,1,1,layout11,pICALH,0.0
006,1,1,layout4,pICALH,0.0
007,1,1,layout3,pICALH,0.0
013,1,1,layout,pICALH,0.0
005,1,1,layout1,pICALH,0.0
004,1,1,layout6,pICALH,0.0
001,1,1,layout9,pICALH,0.0
012,1,1,layout10,pICALH,0.0
012,1,1,layout0,pICALH,0.0
013,1,1,layout7,pICALH,0.0
011,1,1,layout5,pICALH,0.0
010,1,1,layout2,pICALH,0.0
018,1,1,layout0,pICALH,0.0
002,1,1,layout9,pICALH,0.0
005,1,1,layout10,pICALH,0.0
006,1,1,layout1,pICALH,0.0
008,1,1,layout9,pICALH,0.0
017,1,1,layout11,pICALH,0.0
005,1,1,layout4,pICALH,0.0
004,1,1,layout3,pICALH,0.0
018,1,1,layout11,pICALH,0.0
018,1,1,layout5,pICALH,0.0
015,1,1,layout8,pICALH,0.0
012,1,1,layout5,pICALH,0.0
013,1,1,layout2,pICALH,0.0
011,1,1,layout0,pICALH,0.0
010,1,1,layout7,pICALH,0.0
008,1,1,layout4,pICALH,0.0
009,1,1,layout3,pICALH,0.0
005,1,1,layout9,pICALH,0.0
002,1,1,layout4,pICALH,0.0
003,1,1,layout3,pICALH,0.0
012,1,1,layout8,pICALH,0.0
004,1,1,layout11,pICALH,0.0
018,1,1,layout8,pICALH,0.0
016,1,1,layout10,pICALH,0.0
015,1,1,layout5,pICALH,0.0
014,1,1,layout2,pICALH,0.0
007,1,1,layout,pICALH,0.0
016,1,1,layout0,pICALH,0.0
017,1,1,layout7,pICALH,0.0
014,1,1,layout5,pICALH,0.0
015,1,1,layout2,pICALH,0.0
017,1,1,layout0,pICALH,0.0
016,1,1,layout7,pICALH,0.0
017,1,1,layout,pICALH,0.0
001,1,1,layout,pICALH,0.0
008,1,1,layout11,pICALH,0.0
013,1,1,layout8,pICALH,0.0
001,1,1,layout6,pICALH,0.0
002,1,1,layout3,pICALH,0.0
009,1,1,layout4,pICALH,0.0
008,1,1,layout3,pICALH,0.0
004,1,1,layout9,pICALH,0.0
015,1,1,layout10,pICALH,0.0
013,1,1,layout5,pICALH,0.0
012,1,1,layout2,pICALH,0.0
006,1,1,layout10,pICALH,0.0
010,1,1,layout0,pICALH,0.0
011,1,1,layout7,pICALH,0.0
009,1,1,layout,pICALH,0.0
018,1,1,layout2,pICALH,0.0
014,1,1,layout8,pICALH,0.0
007,1,1,layout1,pICALH,0.0
006,1,1,layout6,pICALH,0.0
009,1,1,layout9,pICALH,0.0
004,1,1,layout4,pICALH,0.0
005,1,1,layout3,pICALH,0.0
003,1,1,layout9,pICALH,0.0
017,1,1,layout8,pICALH,0.0
018,1,1,layout7,pICALH,0.0
003,1,1,layout11,pICALH,0.0
012,1,1,layout7,pICALH,0.0
011,1,1,layout10,pICALH,0.0
010,1,1,layout5,pICALH,0.0
011,1,1,layout2,pICALH,0.0
007,1,1,layout4,pICALH,0.0
006,1,1,layout3,pICALH,0.0
003,1,1,layout,pICALH,0.0
004,1,1,layout1,pICALH,0.0
005,1,1,layout6,pICALH,0.0
010,1,1,layout8,pICALH,0.0
014,1,1,layout0,pICALH,0.0
015,1,1,layout7,pICALH,0.0
017,1,1,layout5,pICALH,0.0
016,1,1,layout2,pICALH,0.0
009,1,1,layout1,pICALH,0.0
008,1,1,layout6,pICALH,0.0
002,1,1,layout10,pICALH,0.0
007,1,1,layout9,pICALH,0.0
001,1,1,layout3,pICALH,0.0
003,1,1,layout1,pICALH,0.0
002,1,1,layout6,pICALH,0.0
010,1,1,layout11,pICALH,0.0
007,1,1,layout7,pICALH,0.0
006,1,1,layout0,pICALH,0.0
017,1,1,layout10,pICALH,0.0
008,1,1,layout8,pICALH,0.0
004,1,1,layout2,pICALH,0.0
005,1,1,layout5,pICALH,0.0
012,1,1,layout,pICALH,0.0
002,1,1,layout8,pICALH,0.0
005,1,1,layout11,pICALH,0.0
013,1,1,layout3,pICALH,0.0
012,1,1,layout4,pICALH,0.0
010,1,1,layout6,pICALH,0.0
011,1,1,layout1,pICALH,0.0
018,1,1,layout10,pICALH,0.0
018,1,1,layout4,pICALH,0.0
015,1,1,layout9,pICALH,0.0
001,1,1,layout0,pICALH,0.0
003,1,1,layout2,pICALH,0.0
002,1,1,layout5,pICALH,0.0
009,1,1,layout2,pICALH,0.0
008,1,1,layout5,pICALH,0.0
005,1,1,layout8,pICALH,0.0
016,1,1,layout11,pICALH,0.0
018,1,1,layout9,pICALH,0.0
014,1,1,layout3,pICALH,0.0
015,1,1,layout4,pICALH,0.0
017,1,1,layout6,pICALH,0.0
016,1,1,layout1,pICALH,0.0
012,1,1,layout9,pICALH,0.0
004,1,1,layout10,pICALH,0.0
009,1,1,layout7,pICALH,0.0
008,1,1,layout0,pICALH,0.0
006,1,1,layout8,pICALH,0.0
001,1,1,layout5,pICALH,0.0
003,1,1,layout7,pICALH,0.0
002,1,1,layout0,pICALH,0.0
011,1,1,layout9,pICALH,0.0
013,1,1,layout10,pICALH,0.0
014,1,1,layout6,pICALH,0.0
015,1,1,layout1,pICALH,0.0
017,1,1,layout3,pICALH,0.0
016,1,1,layout4,pICALH,0.0
001,1,1,layout11,pICALH,0.0
001,1,1,layout8,pICALH,0.0
012,1,1,layout11,pICALH,0.0
007,1,1,layout2,pICALH,0.0
006,1,1,layout5,pICALH,0.0
004,1,1,layout7,pICALH,0.0
005,1,1,layout0,pICALH,0.0
016,1,1,layout9,pICALH,0.0
018,1,1,layout1,pICALH,0.0
012,1,1,layout1,pICALH,0.0
010,1,1,layout3,pICALH,0.0
011,1,1,layout4,pICALH,0.0
013,1,1,layout1,pICALH,0.0
011,1,1,layout11,pICALH,0.0
011,1,1,layout3,pICALH,0.0
010,1,1,layout4,pICALH,0.0
017,1,1,layout9,pICALH,0.0
018,1,1,layout6,pICALH,0.0
003,1,1,layout10,pICALH,0.0
006,1,1,layout2,pICALH,0.0
007,1,1,layout5,pICALH,0.0
005,1,1,layout7,pICALH,0.0
004,1,1,layout0,pICALH,0.0
015,1,1,layout6,pICALH,0.0
014,1,1,layout1,pICALH,0.0
016,1,1,layout3,pICALH,0.0
017,1,1,layout4,pICALH,0.0
010,1,1,layout9,pICALH,0.0
016,1,1,layout,pICALH,0.0
001,1,1,layout2,pICALH,0.0
002,1,1,layout7,pICALH,0.0
003,1,1,layout0,pICALH,0.0
010,1,1,layout10,pICALH,0.0
008,1,1,layout7,pICALH,0.0
009,1,1,layout0,pICALH,0.0
002,1,1,layout11,pICALH,0.0
007,1,1,layout8,pICALH,0.0
008,1,1,layout10,pICALH,0.0
013,1,1,layout9,pICALH,0.0
015,1,1,layout3,pICALH,0.0
014,1,1,layout4,pICALH,0.0
016,1,1,layout6,pICALH,0.0
017,1,1,layout1,pICALH,0.0
008,1,1,layout2,pICALH,0.0
009,1,1,layout5,pICALH,0.0
004,1,1,layout8,pICALH,0.0
015,1,1,layout11,pICALH,0.0
007,1,1,layout10,pICALH,0.0
001,1,1,layout7,pICALH,0.0
002,1,1,layout2,pICALH,0.0
003,1,1,layout5,pICALH,0.0
014,1,1,layout10,pICALH,0.0
018,1,1,layout3,pICALH,0.0
014,1,1,layout9,pICALH,0.0
012,1,1,layout3,pICALH,0.0
013,1,1,layout4,pICALH,0.0
006,1,1,layout11,pICALH,0.0
011,1,1,layout6,pICALH,0.0
010,1,1,layout1,pICALH,0.0
009,1,1,layout11,pICALH,0.0
003,1,1,layout8,pICALH,0.0
006,1,1,layout7,pICALH,0.0
007,1,1,layout0,pICALH,0.0
014,1,1,layout,pICALH,0.0
009,1,1,layout8,pICALH,0.0
005,1,1,layout2,pICALH,0.0
004,1,1,layout5,pICALH,0.0
